Ellerby's Trakway Trivia — Chesterfield Game-Show Voice Pack v2
Source: chesterfield_50yo_gameshow_all_phrases.wav
64 short Chesterfield/Mansfield-style phrases.

01. jon-chesterfield-v2-01.mp3 | Now then, youth.
02. jon-chesterfield-v2-02.mp3 | Reet, let's crack on.
03. jon-chesterfield-v2-03.mp3 | Ey up, tha's away.
04. jon-chesterfield-v2-04.mp3 | Go on then, mi duck.
05. jon-chesterfield-v2-05.mp3 | Get thi sen ready.
06. jon-chesterfield-v2-06.mp3 | Reet, have a think.
07. jon-chesterfield-v2-07.mp3 | Don't rush it, youth.
08. jon-chesterfield-v2-08.mp3 | Use thi noggin.
09. jon-chesterfield-v2-09.mp3 | Tha knows this one.
10. jon-chesterfield-v2-10.mp3 | Come on, tha's got it.
11. jon-chesterfield-v2-11.mp3 | Have a proper look.
12. jon-chesterfield-v2-12.mp3 | Think on, youth.
13. jon-chesterfield-v2-13.mp3 | Don't get mardy now.
14. jon-chesterfield-v2-14.mp3 | Keep it simple, duck.
15. jon-chesterfield-v2-15.mp3 | What's tha reckon then?
16. jon-chesterfield-v2-16.mp3 | Go on, pick one.
17. jon-chesterfield-v2-17.mp3 | Choices are up.
18. jon-chesterfield-v2-18.mp3 | Half a panel, youth.
19. jon-chesterfield-v2-19.mp3 | Take thi hint then.
20. jon-chesterfield-v2-20.mp3 | Reet, have a gander.
21. jon-chesterfield-v2-21.mp3 | One of them's reet.
22. jon-chesterfield-v2-22.mp3 | Don't overcook it.
23. jon-chesterfield-v2-23.mp3 | Answer's up, youth.
24. jon-chesterfield-v2-24.mp3 | Reet, that's why.
25. jon-chesterfield-v2-25.mp3 | Bank that one, duck.
26. jon-chesterfield-v2-26.mp3 | Remember that bit.
27. jon-chesterfield-v2-27.mp3 | That's worth knowing.
28. jon-chesterfield-v2-28.mp3 | Spot on, youth.
29. jon-chesterfield-v2-29.mp3 | Bang on, duck.
30. jon-chesterfield-v2-30.mp3 | Reet answer.
31. jon-chesterfield-v2-31.mp3 | Panel in. Lovely.
32. jon-chesterfield-v2-32.mp3 | That's more like it.
33. jon-chesterfield-v2-33.mp3 | Tha's flying now.
34. jon-chesterfield-v2-34.mp3 | Proper job, that.
35. jon-chesterfield-v2-35.mp3 | Nice one, youth.
36. jon-chesterfield-v2-36.mp3 | Tha'll do nicely.
37. jon-chesterfield-v2-37.mp3 | Nay, not that one.
38. jon-chesterfield-v2-38.mp3 | Nearly, mi duck.
39. jon-chesterfield-v2-39.mp3 | Wrong'un, youth.
40. jon-chesterfield-v2-40.mp3 | Tha's had a wobble.
41. jon-chesterfield-v2-41.mp3 | That's gone sideways.
42. jon-chesterfield-v2-42.mp3 | Bit daft, that.
43. jon-chesterfield-v2-43.mp3 | Ah well, crack on.
44. jon-chesterfield-v2-44.mp3 | Learn it and move on.
45. jon-chesterfield-v2-45.mp3 | Better here than site.
46. jon-chesterfield-v2-46.mp3 | Don't do that again.
47. jon-chesterfield-v2-47.mp3 | Halfway, youth.
48. jon-chesterfield-v2-48.mp3 | Reet, keep going.
49. jon-chesterfield-v2-49.mp3 | Tha's making ground.
50. jon-chesterfield-v2-50.mp3 | Don't get cocky.
51. jon-chesterfield-v2-51.mp3 | Keep thi foot in.
52. jon-chesterfield-v2-52.mp3 | It's getting tasty.
53. jon-chesterfield-v2-53.mp3 | Neck and neck now.
54. jon-chesterfield-v2-54.mp3 | One more, youth.
55. jon-chesterfield-v2-55.mp3 | Finish it reet.
56. jon-chesterfield-v2-56.mp3 | Nearly home, duck.
57. jon-chesterfield-v2-57.mp3 | Steady now, youth.
58. jon-chesterfield-v2-58.mp3 | Reet, job done.
59. jon-chesterfield-v2-59.mp3 | Tha's only gone and won.
60. jon-chesterfield-v2-60.mp3 | Winner, winner, brew for dinner.
61. jon-chesterfield-v2-61.mp3 | Ten panels. Sorted.
62. jon-chesterfield-v2-62.mp3 | Tha's smashed that.
63. jon-chesterfield-v2-63.mp3 | Solo job, youth.
64. jon-chesterfield-v2-64.mp3 | Reet, tha's done it.
